epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.114,2.09389,2.15891,2.15232,0.36352,0.23525,0.1947,0.0537,2.58659,2.93394,2.87622,0.0705455,0.00327273,0.00327273
2,466.693,2.1104,2.12199,2.14403,0.00038,0.04246,0.0002,5e-05,4.10897,54.8017,5.6848,0.0398915,0.00595206,0.00595206
3,691.732,2.06092,2.08329,2.08702,0.00736,0.12314,0.00206,0.00051,3.75564,85.1744,4.23068,0.00857745,0.00797139,0.00797139
4,962.229,2.11128,2.23049,2.18208,0.00701,0.13376,0.00592,0.00249,3.08099,63.6293,3.39346,0.00703,0.00703,0.00703
5,1207.09,2.0183,2.08568,2.09872,0.3222,0.29936,0.22443,0.05433,2.73311,2.37929,2.3759,0.00604,0.00604,0.00604
6,1421.32,1.96695,1.99388,2.1047,0.45661,0.46709,0.40613,0.13353,2.47912,2.04987,2.06747,0.00505,0.00505,0.00505
7,1619.6,1.91015,1.91987,2.04808,0.54045,0.47134,0.48065,0.16622,2.28361,1.88668,1.94138,0.00406,0.00406,0.00406
8,1833,1.87014,1.79141,1.96786,0.57387,0.47558,0.46866,0.18948,2.23292,1.73381,1.90222,0.00307,0.00307,0.00307
9,2096.44,1.84377,1.75548,1.89634,0.56526,0.46709,0.47425,0.18982,2.22541,1.6967,1.87583,0.00208,0.00208,0.00208
10,2327.07,1.78966,1.71881,1.90435,0.67132,0.50737,0.59117,0.23228,2.21472,1.60058,1.88201,0.00109,0.00109,0.00109
