epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.589,1.86003,1.84513,1.95793,0.43727,0.46497,0.40456,0.11481,2.61716,2.28701,2.27192,0.0705455,0.00327273,0.00327273
2,219.463,1.92344,1.8686,1.99916,0.33151,0.41826,0.32884,0.10356,2.31119,2.70567,2.11251,0.0398915,0.00595206,0.00595206
3,370.992,1.88343,1.8178,1.96249,0.54339,0.36518,0.3691,0.12264,2.34602,2.09918,1.99258,0.00857745,0.00797139,0.00797139
4,468.188,1.96374,1.84283,2.00983,0.32485,0.30034,0.23041,0.07543,2.69976,2.33543,2.90812,0.00703,0.00703,0.00703
5,565.511,1.95599,1.8283,2.01854,0.56669,0.58174,0.54377,0.20999,2.19503,1.7075,1.93052,0.00604,0.00604,0.00604
6,672.517,1.92627,1.85901,1.99739,0.6204,0.54989,0.56271,0.17865,2.33155,1.80051,1.96191,0.00505,0.00505,0.00505
7,765.225,1.86989,1.75442,1.99352,0.69217,0.56051,0.60984,0.20375,2.28955,1.62674,1.94873,0.00406,0.00406,0.00406
8,855.821,1.793,1.66428,1.91611,0.66015,0.57739,0.6284,0.23082,2.27281,1.7714,1.92736,0.00307,0.00307,0.00307
9,940.239,1.7571,1.5876,1.86143,0.70844,0.61392,0.65942,0.27604,2.14249,1.49957,1.82749,0.00208,0.00208,0.00208
10,1022.65,1.75152,1.5897,1.90078,0.69679,0.60012,0.67249,0.26775,2.18223,1.56271,1.83946,0.00109,0.00109,0.00109
