epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6156,2.01085,1.96395,1.98307,0.58109,0.38641,0.39941,0.10702,2.57141,2.27785,2.0796,0.0705455,0.00327273,0.00327273
2,216.922,2.01804,1.93377,2.01309,0.53196,0.48832,0.47237,0.12914,2.43805,1.94452,2.05692,0.0401095,0.00617006,0.00617006
3,384.981,2.04294,2.00153,2.00233,0.49026,0.41401,0.3798,0.125,2.35302,2.15925,1.93213,0.00923345,0.00862739,0.00862739
4,513.323,1.95912,1.93476,1.95965,0.48061,0.44203,0.39811,0.1057,2.47267,2.0949,2.06843,0.00802,0.00802,0.00802
5,665.7,1.98826,1.91304,1.99327,0.57021,0.569,0.51569,0.16826,2.32743,1.85702,1.99249,0.00736,0.00736,0.00736
6,775.25,1.86677,1.82437,1.98861,0.57065,0.47558,0.48664,0.15315,2.35428,1.97589,2.03176,0.0067,0.0067,0.0067
7,912.658,1.78596,1.65965,1.95356,0.5095,0.57962,0.46286,0.14952,2.33812,1.78052,1.96719,0.00604,0.00604,0.00604
8,988.11,1.77301,1.6563,1.91735,0.62693,0.60934,0.62236,0.24854,2.15582,1.58588,1.86104,0.00538,0.00538,0.00538
9,1071.48,1.80035,1.59033,1.9027,0.63522,0.58811,0.58492,0.20748,2.25094,1.79554,1.91,0.00472,0.00472,0.00472
10,1154.86,1.74419,1.5551,1.86617,0.67994,0.55839,0.62085,0.21547,2.29403,1.66721,1.93905,0.00406,0.00406,0.00406
11,1234.39,1.67296,1.5409,1.81243,0.68078,0.55839,0.65054,0.23936,2.10231,1.59047,1.78261,0.0034,0.0034,0.0034
12,1316.83,1.66152,1.44934,1.77286,0.72319,0.61783,0.68566,0.25531,2.13523,1.50014,1.77886,0.00274,0.00274,0.00274
13,1440.21,1.67946,1.42766,1.81212,0.69925,0.64756,0.71037,0.26044,2.13882,1.4735,1.77656,0.00208,0.00208,0.00208
14,1543.93,1.64479,1.44843,1.77065,0.77096,0.64756,0.72101,0.2745,2.09947,1.49496,1.75341,0.00142,0.00142,0.00142
15,1653.45,1.62151,1.38644,1.76834,0.7482,0.66243,0.71864,0.28303,2.07376,1.42141,1.74599,0.00076,0.00076,0.00076
